,State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,% Uninsured Adults,% Excessive Drinking,POPESTIMATE2022
75,Alaska,Dillingham,39.0,4.7,29.0,58.90305137118579,14.0,16.0,47.0,70.2,58389.0,23.09772112784859,20.0,2589.0
77,Alaska,Haines,31.0,6.3,21.0,5.356764768155833,9.0,13.0,97.0,84.4,63155.0,4.340461571035359,22.0,4723.0
78,Alaska,Hoonah-Angoon,36.0,4.8,23.0,0.7015814421745878,11.0,14.0,42.0,84.3,56555.0,0.27895465413817694,23.0,95356.0
81,Alaska,Ketchikan Gateway,34.0,8.3,21.0,0.17042764715164904,9.0,13.0,81.0,80.2,73260.0,4.225974435852927,21.0,31685.0
82,Alaska,Kodiak Island,30.0,7.6,22.0,2.570439940682155,8.0,11.0,99.0,80.5,80863.0,2.8884494974460373,20.0,60690.0
87,Alaska,North Slope,38.0,7.9,27.0,0.5912199426428414,11.0,13.0,7.0,76.2,95041.0,0.8727112287668211,22.0,113325.0
88,Alaska,Northwest Arctic,42.0,4.2,32.0,22.348754448398576,15.0,16.0,3.0,71.3,67586.0,10.249110320284698,21.0,9835.0
89,Alaska,Petersburg,31.0,8.5,21.0,0.23137436372049977,9.0,13.0,16.0,80.6,71878.0,3.063396575659417,22.0,10805.0
90,Alaska,Prince of Wales-Hyder,34.0,6.6,26.0,6.614576316853024,12.0,15.0,32.0,76.4,56226.0,11.370066011046747,21.0,7423.0
91,Alaska,Sitka,31.0,8.1,19.0,16.517857142857142,8.0,12.0,100.0,80.9,78248.0,23.86904761904762,21.0,3360.0
93,Alaska,Southeast Fairbanks,33.0,7.4,21.0,8.291577189214983,9.0,13.0,27.0,77.2,68347.0,9.556191839656407,21.0,8382.0
95,Alaska,Wrangell,33.0,8.0,22.0,1.694915254237288,10.0,14.0,100.0,79.2,64732.0,3.9595499216635806,21.0,7021.0
99,Arizona,Apache,36.0,2.7,27.0,0.34344779736158715,18.0,21.0,18.0,70.1,41002.0,0.12470110529722196,16.0,7359197.0
100,Arizona,Cochise,31.0,6.7,24.0,31.221726372417162,11.0,15.0,68.0,78.2,55748.0,14.109304315931043,17.0,65432.0
101,Arizona,Coconino,28.0,6.5,19.0,14.245243229908567,11.0,16.0,81.0,78.0,63829.0,11.725806323261422,19.0,125663.0
102,Arizona,Gila,32.0,6.5,27.0,4.09829237817576,13.0,18.0,88.0,72.7,52665.0,2.905039566847147,20.0,144060.0
103,Arizona,Graham,33.0,6.4,25.0,10.867549423240979,12.0,16.0,57.0,77.0,52644.0,6.461184674158971,19.0,53922.0
104,Arizona,Greenlee,33.0,7.2,24.0,3.055777611593904,11.0,15.0,71.0,79.9,71669.0,1.5240207328708837,18.0,38779.0
105,Arizona,La Paz,36.0,4.6,30.0,58.34229198021931,13.0,17.0,43.0,77.7,44330.0,21.81251343797033,18.0,9302.0
107,Arizona,Mohave,36.0,5.6,29.0,0.822361916580029,12.0,18.0,57.0,75.5,48169.0,0.3876943195290193,22.0,4551524.0
108,Arizona,Navajo,34.0,4.3,27.0,12.652162886747337,15.0,19.0,60.0,71.4,49057.0,5.407669734077241,16.0,220816.0
109,Arizona,Pima,29.0,7.3,23.0,80.5568338702255,10.0,15.0,87.0,78.5,60604.0,76.60745513115509,19.0,108650.0
110,Arizona,Pinal,37.0,7.1,25.0,5.050033235722114,11.0,15.0,64.0,81.8,70835.0,3.44999087554144,18.0,1057597.0
111,Arizona,Santa Cruz,35.0,6.1,29.0,1.8720079973457087,13.0,15.0,65.0,81.2,49216.0,1.2263171275050953,15.0,464154.0
112,Arizona,Yavapai,28.0,6.9,21.0,56.178346561660405,10.0,16.0,85.0,78.4,57676.0,36.83217457289936,18.0,48759.0
113,Arizona,Yuma,41.0,6.5,29.0,8.192825895341421,12.0,15.0,81.0,80.5,55991.0,9.053945920037695,16.0,246191.0
115,Arkansas,Arkansas,38.0,5.4,33.0,0.1477523421208765,13.0,18.0,76.0,72.9,50928.0,0.03161900121386758,16.0,3045637.0
116,Arkansas,Ashley,40.0,6.5,36.0,12.5,14.0,19.0,44.0,73.8,44030.0,8.157703488372094,16.0,16512.0
117,Arkansas,Baxter,33.0,7.1,27.0,12.711125640187426,12.0,17.0,61.0,76.1,45116.0,13.294104827285604,19.0,18354.0
118,Arkansas,Benton,30.0,8.0,24.0,34.88865323435843,10.0,15.0,72.0,79.5,78974.0,51.69553434664781,19.0,42435.0
119,Arkansas,Boone,37.0,6.8,29.0,1.076064094986842,12.0,17.0,42.0,76.1,48700.0,0.8931431043078885,19.0,302863.0
120,Arkansas,Bradley,43.0,6.8,33.0,3.0691672761466933,14.0,17.0,49.0,72.2,40454.0,2.4187650193292236,15.0,38284.0
121,Arkansas,Calhoun,37.0,5.7,30.0,13.073507646768622,13.0,17.0,7.0,72.9,49977.0,3.2363098174642326,17.0,10135.0
122,Arkansas,Carroll,35.0,7.3,29.0,40.063897763578275,12.0,17.0,54.0,76.1,49225.0,57.018104366347174,17.0,4695.0
123,Arkansas,Chicot,48.0,5.0,39.0,6.610535105420638,16.0,18.0,56.0,72.2,34857.0,1.7396145014264837,14.0,28742.0
124,Arkansas,Clark,39.0,6.3,30.0,24.93669603970424,13.0,17.0,45.0,75.3,47158.0,13.724298592119924,17.0,9873.0
125,Arkansas,Clay,39.0,6.3,31.0,5.374117647058823,14.0,18.0,61.0,73.0,41419.0,4.517647058823529,17.0,21250.0
126,Arkansas,Cleburne,37.0,6.9,29.0,12.050473186119874,13.0,17.0,36.0,75.2,50200.0,9.631966351209254,19.0,14265.0
127,Arkansas,Cleveland,37.0,7.1,32.0,2.6182566049675686,13.0,18.0,1.0,75.1,53705.0,1.7916468913146653,17.0,25284.0
128,Arkansas,Columbia,40.0,6.4,33.0,28.311236105531002,14.0,18.0,52.0,73.9,44651.0,19.49912950314718,15.0,7467.0
129,Arkansas,Conway,39.0,6.2,31.0,9.335613971912135,14.0,18.0,46.0,75.3,47741.0,5.388008642419877,17.0,22216.0
130,Arkansas,Craighead,40.0,6.6,29.0,41.80366815546897,12.0,17.0,60.0,76.1,52490.0,35.41290506509551,17.0,21046.0
131,Arkansas,Crawford,36.0,6.3,31.0,7.2272313014856175,13.0,18.0,65.0,76.4,54065.0,4.89660847483122,16.0,113017.0
132,Arkansas,Crittenden,47.0,6.4,34.0,8.853049529267293,14.0,18.0,77.0,72.2,43821.0,5.047891936144086,14.0,61075.0
133,Arkansas,Cross,41.0,6.1,33.0,5.524744480567774,14.0,18.0,72.0,72.1,45262.0,2.1950234801640423,16.0,47061.0
135,Arkansas,Desha,45.0,5.6,38.0,34.90550799547731,16.0,19.0,41.0,72.2,39042.0,12.663543853981588,13.0,6191.0
136,Arkansas,Drew,43.0,6.7,35.0,15.810973911428835,13.0,17.0,66.0,74.0,46572.0,10.435428465323554,15.0,10771.0
137,Arkansas,Faulkner,36.0,6.7,27.0,79.78830347111348,11.0,16.0,64.0,76.3,57573.0,48.34131630299805,17.0,16911.0
138,Arkansas,Franklin,36.0,6.8,33.0,0.2678886147338738,14.0,19.0,67.0,74.0,47834.0,0.9877413543257744,17.0,127665.0
139,Arkansas,Fulton,38.0,6.6,32.0,4.209368305251577,15.0,19.0,44.0,75.3,41557.0,4.168837936425222,17.0,17271.0
140,Arkansas,Garland,31.0,6.2,28.0,82.6199321595865,12.0,17.0,72.0,74.3,48053.0,55.8956549830399,16.0,12382.0
