State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,# Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,# Uninsured Adults,% Excessive Drinking,,,,STNAME,CTYNAME,POPESTIMATE2022,,TRUE
Alabama,Monroe,44,6,32,2614,14,18,41,73.3,40997,1919,14,,,,Alabama,Monroe,19404,,TRUE
Alabama,Montgomery,49,6.5,31,24643,11,16,69,75.2,50645,19760,14,,,,Alabama,Montgomery,226361,,TRUE
Alabama,Morgan,40,7.1,28,9883,12,17,71,74.2,56340,12712,17,,,,Alabama,Morgan,124211,,TRUE
Alabama,Perry,51,3.4,41,2949,17,19,55,70.8,31522,670,11,,,,Alabama,Perry,8035,,TRUE
Alabama,Pickens,42,6.9,34,296,14,18,4,73.9,43926,1568,14,,,,Alabama,Pickens,18697,,TRUE
Alabama,Pike,39,6.7,30,3452,12,17,61,73.9,38945,2954,15,,,,Alabama,Pike,33014,,TRUE
Alabama,Randolph,43,6.4,30,3021,12,18,41,73.9,45889,2087,16,,,,Alabama,Randolph,22479,,TRUE
Alabama,Russell,42,6.7,33,3529,13,18,56,73.4,44849,5330,14,,,,Alabama,Russell,58555,,TRUE
Alabama,St. Clair,38,7.9,26,1984,11,17,49,74.7,63015,7799,16,,,,Alabama,St. Clair,93932,,TRUE
Alabama,Shelby,33,8.3,21,11354,9,15,74,80.3,85457,15429,17,,,,Alabama,Shelby,230115,,TRUE
Alabama,Sumter,48,5.9,36,1479,15,18,33,71.9,29490,980,12,,,,Alabama,Sumter,11853,,TRUE
Alabama,Talladega,42,6.7,32,6453,13,18,50,72.9,47331,6525,15,,,,Alabama,Talladega,80704,,TRUE
Alabama,Tallapoosa,40,7.3,31,1359,12,18,60,73.9,47444,3762,16,,,,Alabama,Tallapoosa,40977,,TRUE
Alabama,Tuscaloosa,42,7.2,29,13105,11,17,75,75.8,56274,16181,17,,,,Alabama,Tuscaloosa,236780,,TRUE
Alabama,Walker,36,6.9,30,2492,13,18,40,69.6,46343,5244,16,,,,Alabama,Walker,64339,,TRUE
Alabama,Washington,43,7.3,30,788,13,18,10,75.3,49795,1604,15,,,,Alabama,Washington,15122,,TRUE
Alabama,Wilcox,51,4.1,39,2764,15,19,2,69.8,30071,846,12,,,,Alabama,Wilcox,10059,,TRUE
Alabama,Winston,40,7.2,32,415,13,19,76,74.8,47176,2241,16,,,,Alabama,Winston,23755,,TRUE
Alaska,,32,6.8,21,55887,9,10,76,78.6,78437,67041,20,,,,Alaska,Alaska,733583,,FALSE
Alaska,Aleutians East,29,7.3,28,458,9,10,11,112.5,71492,609,16,,,,Alaska,Aleutians East Borough,3398,,TRUE
Alaska,Aleutians West,30,8,26,434,8,10,81,91.5,86050,931,18,,,,Alaska,Aleutians West Census,5122,,TRUE
Alaska,Anchorage,29,8.3,20,13337,8,12,91,78.7,86152,22973,22,,,,Alaska,Anchorage Municipality,287145,,TRUE
Alaska,Bethel,38,2.7,34,6780,17,17,92,70.7,54849,2690,20,,,,Alaska,Bethel Census,18257,,TRUE
Alaska,Bristol Bay,36,7.4,21,116,9,13,6,,88516,90,23,,,,Alaska,Bristol Bay Borough,865,,TRUE
Alaska,Denali,31,4.2,20,604,9,12,72,89.1,85251,178,22,,,,Alaska,Chugach Census,6874,,TRUE
Alaska,Dillingham,39,4.7,29,1525,14,16,47,70.2,58389,598,20,,,,Alaska,Copper River Census,2589,,TRUE
Alaska,Fairbanks North Star,31,8.2,21,7544,9,13,76,80.2,76754,8190,21,,,,Alaska,Denali Borough,1585,,TRUE
